キャリア,機種名,メーカー,ニックネーム,発売日,シリーズ,マークアップ言語,ブラウザバージョン,通信速度,画像階調,GIF,JPEG,PNG,BMP2,BMP4,MNG,通信方式,SSL対応,カメラの画素数,第二カメラの画素数,アプリケーション対応,アプリケーション種類,アプリケーションバージョン,アプリケーション最大容量,外部メモリースロットとメディアの種類,和音数,着うた対応,着うたフル対応,着ムービー対応,QR対応,Felica対応,Bluetooth対応,FLASH対応,ルートCA証明書VeriSign,ルートCA証明書Entrust,ルートCA証明書Cyber Trust,ルートCA証明書Geotrust,ルートCA証明書RSA Security,QVGA画面,フルブラウザ対応,赤外線対応,添付ファイルビューアー対応,GPS対応,MOVIE形式,フルブラウザバージョン,フルブラウザUSER-AGENT,添付受信サイズ,Flashバージョン,キャッシュ容量,ワンセグ対応,テレビ電話対応,office文書WebDL,officeファイル表示可能サイズ,Cookie,機体番号送信,モバイルSuica,メールURL長,BookMarkURL長,ブラウザURL長,プッシュ型情報配信,メール件名文字数,アニメーションGIF,透過GIF,添付送信サイズ,HTMLメール,きせかえツール,タッチパネル,横画面用待受設定,横画面ブラウザ対応,最終更新日
au,A1011ST,SANYO,,2002/4/1,A1000,HDML,3,14.4Kbps,カラー65536色,N,Y,Y,Y,N,N,cdma2000_1x,L,,,N,,,,,16,N,N,N,N,N,N,N,Y,N,Y,N,Y,N,N,N,N,N,,,,100K,0,8220,N,N,N,-,S,Y,N,256,256,256,N,50,N,N,100K,N,N,N,N,N,2007/5/8
au,A1012K,KYOCERA,,2002/4/1,A1000,HDML,3,14.4Kbps,カラー65536色,N,Y,Y,Y,N,N,cdma2000_1x,L,,,N,,,,,40,N,N,N,N,N,N,N,Y,N,Y,N,Y,N,N,N,N,N,,,,100K,0,8220,N,N,N,-,S,Y,N,256,256,256,N,50,N,N,100K,N,N,N,N,N,2007/5/8
au,A1012KII,KYOCERA,,2002/9/25,A1000,HDML,3,14.4Kbps,カラー65536色,N,Y,Y,Y,N,N,cdma2000_1x,L,,,N,,,,,40,N,N,N,N,N,N,N,Y,N,Y,N,Y,N,N,N,N,N,,,,100K,0,8220,N,N,N,-,S,Y,N,256,256,256,N,50,N,N,100K,N,N,N,N,N,2007/5/8
au,A1013K,KYOCERA,,2002/9/6,A1000,HDML,3,14.4Kbps,カラー65536色,N,Y,Y,Y,N,N,cdma2000_1x,L,11万画素,,N,,,,,40,N,N,N,N,N,N,N,Y,N,Y,N,Y,N,N,N,N,N,,,,100K,0,8220,N,N,N,-,S,Y,N,256,256,256,N,50,N,N,100K,N,N,N,N,N,2007/5/8
au,A1014ST,SANYO,,2002/9/20,A1000,HDML,3,14.4Kbps,カラー65536色,N,Y,Y,Y,N,N,cdma2000_1x,L,11万画素,,N,,,,,40,N,N,N,N,N,N,N,Y,N,Y,N,Y,N,N,N,N,N,,,,100K,0,8220,N,N,N,-,S,Y,N,256,256,256,N,50,N,N,100K,N,N,N,N,N,2007/5/8
au,A1101S,SonyEricsson,,2002/11/1,A1100,XHTML_Basic,6,144Kbps,カラー65536色,Y,Y,Y,Y,N,N,cdma2000_1x,E,,,N,,,,,40,N,N,N,N,N,N,N,Y,Y,N,N,Y,N,N,N,N,N,,,,100K,0,10240,N,N,N,-,C,Y,N,256,256,256,N,50,Y,Y,100K,N,N,N,N,N,2007/10/12
au,A1301S,SonyEricsson,,2003/3/21,A1300,XHTML_Basic,6,144Kbps,カラー65536色,Y,Y,Y,Y,N,N,cdma2000_1x,E,31万画素,,N,,,,,40,Y,N,N,N,N,N,N,Y,Y,N,N,Y,N,N,N,N,N,amc,,,100K,0,33500,N,N,N,-,C,Y,N,256,256,256,N,50,Y,Y,100K,N,N,N,N,N,2006/11/9
au,A1302SA,SANYO,,2003/3/21,A1300,XHTML_Basic,6,144Kbps,カラー262144色,Y,Y,Y,Y,N,N,cdma2000_1x,E,11万画素,,N,,,,,40,Y,N,N,N,N,N,N,Y,Y,N,N,Y,N,N,N,N,N,,,,100K,0,33500,N,N,N,-,C,Y,N,256,256,256,N,50,Y,Y,100K,N,N,N,N,N,2007/10/12
au,A1303SA,SANYO,,2003/8/14,A1300,XHTML_Basic,6.2,144Kbps,カラー262144色,Y,Y,Y,Y,N,N,cdma2000_1x,E,31万画素,,N,,,,,40,Y,N,Y,N,N,N,N,Y,Y,Y,N,Y,N,N,N,N,N,amc,,,100K,0,33500,N,N,N,-,C,Y,N,256,256,256,N,50,Y,Y,100K,N,N,N,N,N,2006/11/9
au,A1304T,TOSHIBA,,2003/7/30,A1300,XHTML_Basic,6,144Kbps,カラー65536色,Y,Y,Y,Y,N,N,cdma2000_1x,E,31万画素,,Y,BREW,BREW2.0,200K,,40,Y,N,Y,N,N,N,N,Y,Y,N,N,Y,N,N,N,N,N,amc,,,100K,0,33500,N,N,N,-,C,Y,N,256,256,256,N,50,Y,Y,100K,N,N,N,N,N,2006/11/9
au,A1304TII,TOSHIBA,,2004/1/23,A1300,XHTML_Basic,6,144Kbps,カラー65536色,Y,Y,Y,Y,N,N,cdma2000_1x,E,31万画素,,Y,BREW,BREW2.0,200K,,40,Y,N,Y,N,N,N,N,Y,Y,N,N,Y,N,N,N,N,N,amc,,,100K,0,33500,N,N,N,-,C,Y,N,256,256,256,N,50,Y,Y,100K,N,N,N,N,N,2006/11/9
au,A1304Tカメラ無し,TOSHIBA,,2003/7/30,A1300,XHTML_Basic,6,144Kbps,カラー65536色,Y,Y,Y,Y,N,N,cdma2000_1x,E,,,Y,BREW,BREW2.0,200K,,40,Y,N,Y,N,N,N,N,Y,Y,N,N,Y,N,N,N,N,N,amc,,,100K,0,33500,N,N,N,-,C,Y,N,256,256,256,N,50,Y,Y,100K,N,N,N,N,N,2006/11/9
au,A1305SA,SANYO,,2004/6/26,A1300,XHTML_Basic,6.2,144Kbps,カラー262144色,Y,Y,Y,Y,N,N,cdma2000_1x,E,31万画素,,N,,,,,40,Y,N,Y,N,N,N,N,Y,Y,Y,N,Y,N,N,N,N,N,amc,,,100K,0,33500,N,N,N,-,C,Y,N,256,256,256,N,50,Y,Y,100K,N,N,N,N,N,2006/11/9
au,A1401K,KYOCERA,,2003/8/9,A1400,XHTML_Basic,6.2,144Kbps,カラー65536色,Y,Y,Y,Y,N,N,cdma2000_1x,E,33万画素,,N,,,,,40,Y,N,Y,N,N,N,N,Y,Y,Y,N,Y,N,N,N,N,N,amc,,,100K,0,33500,N,N,N,-,C,Y,N,256,256,256,N,50,Y,Y,100K,N,N,N,N,N,2006/11/9
au,A1402S,SonyEricsson,,2004/3/6,A1400,XHTML_Basic,6.2,144Kbps,カラー262144色,Y,Y,Y,Y,N,N,cdma2000_1x,E,34万画素,,Y,BREW,BREW2.1,300K,,64,Y,N,Y,Y,N,N,N,Y,Y,Y,N,Y,Y,N,Y,N,N,3g2/amc,,,100K,0,49152,N,N,N,-,C,Y,N,256,256,256,N,50,Y,Y,100K,N,N,N,N,N,2006/11/9
au,A1402SII,SonyEricsson,,2004/9/9,A1400,XHTML_Basic,6.2,144Kbps,カラー262144色,Y,Y,Y,Y,N,N,cdma2000_1x,E,34万画素,,Y,BREW,BREW2.1,300K,,64,Y,N,Y,Y,N,N,N,Y,Y,Y,N,Y,Y,N,Y,N,N,3g2/amc,,,100K,0,49152,N,N,N,-,C,Y,N,256,256,256,N,50,Y,Y,100K,N,N,N,N,N,2006/11/9
au,A1402SIIカメラ無し,SonyEricsson,,2004/10/7,A1400,XHTML_Basic,6.2,144Kbps,カラー262144色,Y,Y,Y,Y,N,N,cdma2000_1x,E,,,Y,BREW,BREW2.1,300K,,64,Y,N,Y,N,N,N,N,Y,Y,Y,N,Y,Y,N,Y,N,N,3g2/amc,,,100K,0,49152,N,N,N,-,C,Y,N,256,256,256,N,50,Y,Y,100K,N,N,N,N,N,2006/11/9
au,A1403K,KYOCERA,,2004/10/28,A1400,XHTML_Basic,6.2,144Kbps,カラー262144色,Y,Y,Y,Y,N,N,cdma2000_1x,E,32万画素,,Y,BREW,BREW2.1,300K,,64,Y,N,Y,N,N,N,N,Y,Y,Y,N,Y,Y,N,N,N,N,3g2,,,100K,0,49152,N,N,N,-,C,Y,N,256,256,256,N,50,Y,Y,100K,N,N,N,N,N,2006/11/9
au,A1404S,SonyEricsson,,2005/1/28,A1400,XHTML_Basic,6.2,144Kbps,カラー65536色,Y,Y,Y,Y,N,N,cdma2000_1x,E,32万画素,,Y,BREW,BREW2.1,300K,,64,Y,N,Y,Y,N,N,N,Y,Y,Y,N,Y,Y,N,Y,N,N,3g2,,,100K,0,49152,N,N,N,-,C,Y,N,256,256,256,N,50,Y,Y,100K,N,N,N,N,N,2007/5/8
au,A1404SII,SonyEricsson,,2005/7/1,A1400,XHTML_Basic,6.2,144Kbps,カラー65536色,Y,Y,Y,Y,N,N,cdma2000_1x,E,32万画素,,Y,BREW,BREW2.1,300K,,64,Y,N,Y,Y,N,N,N,Y,Y,Y,N,Y,Y,N,Y,N,N,3g2,,,100K,0,49152,N,N,N,-,C,Y,N,256,256,256,N,50,Y,Y,100K,N,N,N,N,N,2007/5/8
au,A1405PT,PANTECH,,2005/12/10,A1400,XHTML_Basic,6.2,144Kbps,カラー65536色,Y,Y,Y,Y,N,N,cdma2000_1x,E,33万画素,,N,,,,,64,Y,N,Y,N,N,N,N,Y,Y,Y,Y,Y,Y,N,N,N,N,3g2,,,300K,0,49152,N,N,N,-,C,Y,N,256,256,256,N,50,Y,Y,300K,N,N,N,N,N,2007/5/8
au,A1406PT,PANTECH,,2006/9/15,A1400,XHTML_Basic,6.2,144Kbps,カラー262144色,Y,Y,Y,Y,N,N,cdma2000_1x,E,135万画素,,N,,,,,64,Y,N,Y,N,N,N,N,Y,Y,Y,Y,Y,Y,N,Y,N,N,3g2,,,300K,0,49152,N,N,N,-,C,Y,N,256,256,256,N,50,Y,Y,300K,N,N,N,N,N,2006/9/29
